Campaign,Extension Type,Sitelink Text,Sitelink URL,Status,Category
Leptitox - BR - Teste CPA,Sitelink,Leptitox is Only Available for,https://go.hotmart.com/leptitox-oficial,Active,SAVINGS
Leptitox - BR - Teste CPA,Sitelink,Direct To Your Door,https://go.hotmart.com/leptitox-oficial,Active,DELIVERY
Leptitox - BR - Teste CPA,Sitelink,60 Day Money Back Guarantee,https://go.hotmart.com/leptitox-oficial,Active,GUARANTEE
Leptitox - BR - Teste CPA,Sitelink,Start Your Order Here,https://go.hotmart.com/leptitox-oficial,Active,CTA
Leptitox - BR - Teste CPA,Sitelink,Last Units Available,https://go.hotmart.com/leptitox-oficial,Active,SCARCITY
