Campaign,Extension Type,Snippet Header,Snippet Value,Status,Category
Leptitox - BR - Teste CPA,Structured Snippet,Offers,"Save Big, Order Now",Active,SAVINGS
Leptitox - BR - Teste CPA,Structured Snippet,Offers,Free Shipping,Active,DELIVERY
Leptitox - BR - Teste CPA,Structured Snippet,Offers,60Days Money Back,Active,GUARANTEE
Leptitox - BR - Teste CPA,Structured Snippet,Offers,As Soon As You Complete Your Order,Active,PRODUCT
Leptitox - BR - Teste CPA,Structured Snippet,Offers,Limited-Time Offer,Active,SCARCITY
Leptitox - BR - Teste CPA,Structured Snippet,Offers,Get Free Gifts Now,Active,GIFTS
Leptitox - BR - Teste CPA,Structured Snippet,Offers,Leptitox Buy Today,Active,CTA
